measure,location,sex,age,cause,metric,year_start,year_end,val,upper,lower
YLDs (Years Lived with Disability),Low SDI,Male,Age-standardized,Drug-susceptible tuberculosis,Percent,1990,2021,-0.3994004434648167,-0.365100442277653,-0.433612234899113
YLDs (Years Lived with Disability),Low SDI,Female,Age-standardized,Drug-susceptible tuberculosis,Percent,1990,2021,-0.5301256579943676,-0.5009738177946373,-0.5588618419397864
YLDs (Years Lived with Disability),Low SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Percent,1990,2021,-0.4693362445985265,-0.4395832666827204,-0.5008893185825979
YLDs (Years Lived with Disability),Low SDI,Male,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.451408452848745,-0.4240550145226323,-0.4803124865804795
YLDs (Years Lived with Disability),Low SDI,Female,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.5569160402930265,-0.532997417724936,-0.5802890851281302
YLDs (Years Lived with Disability),Low SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.50617636467226,-0.4819907522286909,-0.5303988894175056
YLDs (Years Lived with Disability),High-middle SDI,Male,Age-standardized,Tuberculosis,Percent,1990,2021,-0.5028182195036056,-0.4759476656737983,-0.5278308732460053
YLDs (Years Lived with Disability),High-middle SDI,Female,Age-standardized,Tuberculosis,Percent,1990,2021,-0.5291098486437787,-0.4969814913479973,-0.5583286077332039
YLDs (Years Lived with Disability),High-middle SDI,Both,Age-standardized,Tuberculosis,Percent,1990,2021,-0.5101855712426139,-0.4845287352889287,-0.534871915399894
YLDs (Years Lived with Disability),High-middle SDI,Male,Age-standardized,Tuberculosis,Rate,1990,2021,-0.5255425357937656,-0.5011089594725772,-0.548540751342032
YLDs (Years Lived with Disability),High-middle SDI,Female,Age-standardized,Tuberculosis,Rate,1990,2021,-0.5365938567588472,-0.5066455547295242,-0.5651758697603787
YLDs (Years Lived with Disability),High-middle SDI,Both,Age-standardized,Tuberculosis,Rate,1990,2021,-0.5256001548561993,-0.500469339201039,-0.5482759620370248
YLDs (Years Lived with Disability),Global,Male,Age-standardized,Drug-susceptible tuberculosis,Percent,1990,2021,-0.4102376881373579,-0.3737277714808483,-0.4451077534407128
YLDs (Years Lived with Disability),Global,Female,Age-standardized,Drug-susceptible tuberculosis,Percent,1990,2021,-0.4806386398621814,-0.4511971183520672,-0.5110776328126185
YLDs (Years Lived with Disability),Global,Both,Age-standardized,Drug-susceptible tuberculosis,Percent,1990,2021,-0.4432432106904043,-0.4126709989463879,-0.4762145422628967
YLDs (Years Lived with Disability),Global,Male,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.4260817479540734,-0.3926937481976951,-0.4617246012963695
YLDs (Years Lived with Disability),Global,Female,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.4771405650823625,-0.4504264089469637,-0.5077231500031903
YLDs (Years Lived with Disability),Global,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.4480434046941529,-0.4193706469775417,-0.4799443766600715
YLDs (Years Lived with Disability),Low SDI,Male,Age-standardized,Latent tuberculosis infection,Percent,1990,2021,0.0,0.0,0.0
